product_id,date,stock_received,damaged_stock,damage %,product category
153019,2023-03-17,4,2,50%,Fruits & Vegetables
848226,2023-03-17,4,2,50%,Fruits & Vegetables
965755,2023-03-17,1,0,0%,Fruits & Vegetables
39154,2023-03-17,4,0,0%,Fruits & Vegetables
34186,2023-03-17,3,2,67%,Fruits & Vegetables
478531,2023-03-17,4,2,50%,Fruits & Vegetables
812607,2023-03-17,4,0,0%,Fruits & Vegetables
818990,2023-03-17,4,0,0%,Fruits & Vegetables
14145,2023-03-17,0,2,N/A,Fruits & Vegetables
847349,2023-03-17,0,2,N/A,Fruits & Vegetables
284460,2023-03-17,4,0,0%,Fruits & Vegetables
77308,2023-03-17,0,2,N/A,Fruits & Vegetables
654297,2023-03-17,4,2,50%,Fruits & Vegetables
376447,2023-03-17,4,0,0%,Dairy & Breakfast
217710,2023-03-17,0,2,N/A,Dairy & Breakfast
888807,2023-03-17,1,0,0%,Dairy & Breakfast
41853,2023-03-17,4,0,0%,Dairy & Breakfast
257719,2023-03-17,4,0,0%,Dairy & Breakfast
741341,2023-03-17,0,2,N/A,Dairy & Breakfast
500633,2023-03-17,0,2,N/A,Dairy & Breakfast
799952,2023-03-17,3,0,0%,Dairy & Breakfast
833557,2023-03-17,4,0,0%,Dairy & Breakfast
324809,2023-03-17,1,0,0%,Dairy & Breakfast
455083,2023-03-17,0,2,N/A,Dairy & Breakfast
592784,2023-03-17,3,0,0%,Snacks & Munchies
578097,2023-03-17,0,2,N/A,Snacks & Munchies
487065,2023-03-17,4,0,0%,Snacks & Munchies
734789,2023-03-17,4,0,0%,Snacks & Munchies
949818,2023-03-17,0,2,N/A,Snacks & Munchies
654623,2023-03-17,4,0,0%,Snacks & Munchies
378230,2023-03-17,0,2,N/A,Snacks & Munchies
990993,2023-03-17,1,0,0%,Snacks & Munchies
762527,2023-03-17,4,0,0%,Snacks & Munchies
602241,2023-03-17,1,2,200%,Snacks & Munchies
491521,2023-03-17,3,0,0%,Snacks & Munchies
832348,2023-03-17,3,2,67%,Snacks & Munchies
567671,2023-03-17,4,0,0%,Snacks & Munchies
991434,2023-03-17,0,2,N/A,Snacks & Munchies
540618,2023-03-17,3,0,0%,Snacks & Munchies
107548,2023-03-17,0,2,N/A,Cold Drinks & Juices
687218,2023-03-17,3,2,67%,Cold Drinks & Juices
328457,2023-03-17,3,0,0%,Cold Drinks & Juices
300159,2023-03-17,3,2,67%,Cold Drinks & Juices
378676,2023-03-17,3,0,0%,Cold Drinks & Juices
532965,2023-03-17,4,0,0%,Instant & Frozen Food
305754,2023-03-17,1,0,0%,Instant & Frozen Food
491314,2023-03-17,0,2,N/A,Instant & Frozen Food
470449,2023-03-17,0,2,N/A,Instant & Frozen Food
623234,2023-03-17,0,2,N/A,Instant & Frozen Food
652118,2023-03-17,0,2,N/A,Instant & Frozen Food
611575,2023-03-17,3,0,0%,Instant & Frozen Food
621677,2023-03-17,3,0,0%,Instant & Frozen Food
306177,2023-03-17,4,0,0%,Instant & Frozen Food
692985,2023-03-17,0,2,N/A,Grocery & Staples
487931,2023-03-17,0,2,N/A,Grocery & Staples
901144,2023-03-17,3,0,0%,Grocery & Staples
53833,2023-03-17,4,0,0%,Grocery & Staples
490602,2023-03-17,4,0,0%,Grocery & Staples
131136,2023-03-17,0,2,N/A,Grocery & Staples
287070,2023-03-17,1,0,0%,Grocery & Staples
317242,2023-03-17,3,0,0%,Grocery & Staples
644847,2023-03-17,0,2,N/A,Grocery & Staples
461804,2023-03-17,3,0,0%,Grocery & Staples
94225,2023-03-17,0,2,N/A,Household Care
820541,2023-03-17,3,0,0%,Household Care
91670,2023-03-17,3,2,67%,Household Care
336847,2023-03-17,0,2,N/A,Household Care
144124,2023-03-17,3,2,67%,Household Care
677542,2023-03-17,1,0,0%,Household Care
604184,2023-03-17,1,0,0%,Household Care
894539,2023-03-17,0,2,N/A,Household Care
968887,2023-03-17,4,0,0%,Household Care
739448,2023-03-17,0,2,N/A,Household Care
700048,2023-03-17,3,2,67%,Household Care
473647,2023-03-17,3,0,0%,Personal Care
753354,2023-03-17,3,0,0%,Personal Care
490939,2023-03-17,4,0,0%,Personal Care
803607,2023-03-17,0,2,N/A,Personal Care
799688,2023-03-17,0,2,N/A,Personal Care
684939,2023-03-17,0,2,N/A,Personal Care
615545,2023-03-17,0,2,N/A,Personal Care
366066,2023-03-17,0,2,N/A,Personal Care
970529,2023-03-17,3,2,67%,Baby Care
820973,2023-03-17,0,2,N/A,Baby Care
433521,2023-03-17,3,2,67%,Baby Care
927651,2023-03-17,3,0,0%,Baby Care
930284,2023-03-17,0,2,N/A,Baby Care
432617,2023-03-17,0,2,N/A,Baby Care
942001,2023-03-17,3,2,67%,Pet Care
585299,2023-03-17,3,0,0%,Pet Care
52729,2023-03-17,4,0,0%,Pet Care
661577,2023-03-17,3,0,0%,Pet Care
951463,2023-03-17,4,0,0%,Pet Care
243235,2023-03-17,3,2,67%,Pet Care
564692,2023-03-17,4,0,0%,Pet Care
131748,2023-03-17,4,0,0%,Pet Care
186168,2023-03-17,0,2,N/A,Pet Care
537274,2023-03-17,0,2,N/A,Pet Care
913428,2023-03-17,4,0,0%,Pet Care
726958,2023-03-17,3,0,0%,Pet Care
613942,2023-03-17,0,2,N/A,Pet Care
