order_id,product_id,quantity,unit_price,Revenue,Product Name,category,brand
1961864118,642612,3,517.03,1551.09,Pet Treats,Pet Care,Pillay-Ahuja
1549769649,378676,1,881.42,881.42,Orange Juice,Cold Drinks & Juices,Baral-Kamdar
9185164487,741341,2,923.84,1847.68,Eggs,Dairy & Breakfast,Prasad LLC
9644738826,561860,1,874.78,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd
5427684290,602241,2,976.55,1953.1,Nuts,Snacks & Munchies,Bahl-Pau
3265154092,681063,1,321.28,321.28,Mango Drink,Cold Drinks & Juices,Dass and Sons
4898355547,56589,3,517.77,1553.31,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran"
6568151549,500739,2,359.98,719.96,Bread,Dairy & Breakfast,Aggarwal Group
6006693867,490939,1,80.25,80.25,Lotion,Personal Care,"Roy, Barad and De"
374186990,760828,2,563.45,1126.9,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan"
4455336265,753354,3,423.56,1270.68,Shampoo,Personal Care,Sant-Mahajan
3539286337,684939,1,727.95,727.95,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan"
9171116867,500739,3,359.98,1079.94,Bread,Dairy & Breakfast,Aggarwal Group
5504941865,540618,1,317.05,317.05,Popcorn,Snacks & Munchies,Golla-Luthra
5868326481,53833,3,134.69,404.07,Rice,Grocery & Staples,Tella-Master
2137046916,455755,2,44.09,88.18,Detergent,Household Care,Mangal-Sathe
8195544338,131937,1,287.81,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly"
2889700050,798639,1,211.25,211.25,Eggs,Dairy & Breakfast,Subramaniam LLC
65827885,324809,3,608,1824,Bread,Dairy & Breakfast,Sidhu PLC
4656471694,679284,1,877.89,877.89,Cough Syrup,Pharmacy,Pant LLC
6625178717,952168,3,236.95,710.85,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das"
7169557514,706112,2,478.79,957.58,Vitamins,Pharmacy,"Magar, Gara and Garg"
2268306684,812607,2,416.65,833.3,Potatoes,Fruits & Vegetables,Rege Group
6905293278,799952,1,922.64,922.64,Cheese,Dairy & Breakfast,Padmanabhan-Virk
1769493463,709916,3,33.76,101.28,Detergent,Household Care,Varkey LLC
